Country,Primary_Language,Primary_Language_Percentage,Secondary_Language,Secondary_Language_Percentage,Third_Language,Third_Language_Percentage,Additional_Languages,Notes
Eritrea,Tigrinya,55%,Arabic,N/A,Tigre,N/A,"Kunama, Afar, other","No official language; Tigrinya, Arabic, and English are working languages"
Sudan,Arabic,N/A,English,N/A,Nubian languages,N/A,"Ta Bedawie, diverse dialects","Arabic and English are official"
South Sudan,English,N/A,Arabic,N/A,Dinka,N/A,"Nuer, Zande, other","English is official"
Ghana,English,N/A,Asante,14.8%,Ewe,12.7%,"Fante, other African languages","English is official"
Ivory Coast,French,N/A,Baoule,N/A,Dioula,N/A,"60+ native dialects","French is official"
Burkina Faso,French,N/A,Moore,N/A,Fulfulde,N/A,"Jula, other African languages","French is official"
Mali,French,N/A,Bambara,46.3%,Fulani,9.4%,"Songhai, other","French is official; Bambara most widely spoken"
Niger,French,N/A,Hausa,60%,Djerma,20%,"Fulfulde, other","French is official"
Senegal,French,N/A,Wolof,40%,Pular,27%,"Serer, Jola, Mandinka","French is official"
Guinea,French,N/A,Fulani,N/A,Malinke,N/A,"Susu, other ethnic languages","French is official"
Sierra Leone,English,N/A,Mende,31%,Temne,30%,"Krio, other","English is official"
Liberia,English,20%,Ethnic languages,N/A,N/A,N/A,N/A,"English is official; over 20 ethnic languages"
Benin,French,N/A,Fon,N/A,Yoruba,N/A,"Bariba, other African languages","French is official"
Togo,French,N/A,Ewe,32%,Mina,N/A,"Kabiye, Dagomba","French is official"
Cameroon,English,N/A,French,N/A,African languages,N/A,"24 major African language groups","English and French are official"
Gabon,French,N/A,Fang,32%,Myene,N/A,"Nzebi, Bapounou, other","French is official"
Equatorial Guinea,Spanish,67.6%,French,32.4%,Portuguese,N/A,"Fang, Bubi","Spanish, French, and Portuguese are official"
Congo Republic,French,N/A,Lingala,N/A,Kikongo,N/A,"Monokutuba, other","French is official"
Democratic Republic of Congo,French,N/A,Lingala,N/A,Kiswahili,N/A,"Kikongo, Tshiluba","French is official"
Central African Republic,French,N/A,Sangho,N/A,Tribal languages,N/A,"Arabic","French and Sangho are official"
Chad,French,N/A,Arabic,N/A,Sara,N/A,"120+ other languages","French and Arabic are official"
Angola,Portuguese,71.2%,Umbundu,23%,Kikongo,8.2%,"Kimbundu, Chokwe","Portuguese is official"
Mozambique,Portuguese,10.7%,Makhuwa,26.1%,Tsonga,11.5%,"Other African languages","Portuguese is official"
Namibia,English,3.4%,Afrikaans,10.4%,German,0.9%,"Oshiwambo (48.9%), other African languages","English is official"
Botswana,English,N/A,Setswana,77.3%,Kalanga,7.4%,"Sekgalagadi, other","English and Setswana are official"
Madagascar,Malagasy,N/A,French,N/A,English,N/A,"Other","Malagasy and French are official"
Mauritius,English,N/A,French,N/A,Creole,86.5%,"Bhojpuri, Tamil","English is official"
Seychelles,English,N/A,French,N/A,Seychellois Creole,91.8%,"Other","English, French, and Seychellois Creole are official"
Comoros,Comorian,96.9%,Arabic,N/A,French,N/A,"Other","Comorian, Arabic, and French are official"
Cape Verde,Portuguese,N/A,Cape Verdean Creole,N/A,N/A,N/A,N/A,"Portuguese is official; Creole widely spoken"
Sao Tome and Principe,Portuguese,98.4%,Forro,N/A,Angolar,N/A,"Principense","Portuguese is official"
Maldives,Dhivehi,100%,English,N/A,N/A,N/A,N/A,"Dhivehi is official"
Mauritania,Arabic,N/A,Pulaar,N/A,Soninke,N/A,"Wolof, French","Arabic is official"
Qatar,Arabic,N/A,English,N/A,Hindi,N/A,"Urdu, Tagalog","Arabic is official"
Bahrain,Arabic,N/A,English,N/A,Farsi,N/A,"Urdu, Hindi","Arabic is official"
Kuwait,Arabic,N/A,English,N/A,N/A,n/A,N/A,"Arabic is official"
United Arab Emirates,Arabic,N/A,Persian,N/A,English,N/A,"Hindi, Urdu","Arabic is official"
Oman,Arabic,N/A,English,N/A,Baluchi,N/A,"Urdu, Indian dialects","Arabic is official"
Lebanon,Arabic,N/A,French,N/A,English,N/A,"Armenian","Arabic is official"
Jordan,Arabic,97.9%,English,N/A,N/A,N/A,N/A,"Arabic is official"
Syria,Arabic,89.4%,Kurdish,8.9%,Armenian,N/A,"Circassian, French, English","Arabic is official"
Iraq,Arabic,75-80%,Kurdish,15-20%,Turkmen,N/A,"Assyrian, Armenian","Arabic and Kurdish are official"
Iceland,Icelandic,93.2%,English,N/A,Polish,2.7%,"Danish, Swedish, German","Icelandic is official"
Luxembourg,Luxembourgish,87%,French,N/A,German,N/A,"English, Portuguese","Luxembourgish, French, and German are official"
Malta,Maltese,90.1%,English,6%,Italian,N/A,"Other","Maltese and English are official"
Cyprus,Greek,80.9%,Turkish,11%,English,4.1%,"Romanian, Russian","Greek and Turkish are official"
Andorra,Catalan,44.3%,Spanish,41.9%,Portuguese,12.8%,"French","Catalan is official"
Liechtenstein,German,91.2%,Italian,1.4%,Turkish,1.3%,"Other","German is official"
Monaco,French,41.8%,English,16.1%,Italian,14.1%,"Monegasque","French is official"
San Marino,Italian,100%,N/A,N/A,N/A,N/A,N/A,"Italian is official"
Vatican City,Italian,N/A,Latin,N/A,French,N/A,"Other","Italian is official; Latin is official for Holy See"
Zimbabwe,English,N/A,Shona,70%,Ndebele,20%,"13 minority languages","16 official languages including English, Shona, Ndebele"
Malawi,English,N/A,Chichewa,41.4%,Chiyao,18.2%,"Chitumbuka, other local languages","English and Chichewa are official"
Lesotho,Sesotho,99.7%,English,N/A,Zulu,N/A,"Xhosa","Sesotho and English are official"
Eswatini,English,N/A,siSwati,95%,N/A,N/A,N/A,"English and siSwati are official"
Guinea-Bissau,Portuguese,27.1%,Crioulo,70%,Fulani,N/A,"Balanta, Mandinka","Portuguese is official"
East Timor (Timor-Leste),Tetum,36.6%,Portuguese,5%,Indonesian,17%,"Dawan, Kemak, other local languages","Tetum and Portuguese are official"
Brunei,Malay,N/A,English,N/A,Chinese,N/A,"Indigenous dialects","Malay is official"
Bahamas,English,N/A,Haitian Creole,N/A,N/A,N/A,N/A,"English is official"
Suriname,Dutch,N/A,English,N/A,Sranantongo,N/A,"Hindi, Javanese","Dutch is official"
Guyana,English,N/A,Guyanese Creole,N/A,Hindi,N/A,"Urdu, Amerindian languages","English is official"
Samoa,Samoan,91.1%,English,8.5%,N/A,N/A,N/A,"Samoan and English are official"
Fiji,English,1.7%,Fijian,40.6%,Fiji Hindi,41.4%,"Other","English, Fijian, and Fiji Hindi are official"
Solomon Islands,English,1-2%,Melanesian pidgin,95%,Local languages,N/A,"120+ indigenous languages","English is official; Melanesian pidgin is lingua franca"
Vanuatu,English,N/A,French,N/A,Bislama,95%,"113+ indigenous languages","English, French, and Bislama are official"
Papua New Guinea,English,1-2%,Tok Pisin,N/A,Hiri Motu,N/A,"839+ indigenous languages","English, Tok Pisin, and Hiri Motu are official"
Tonga,Tongan,95%,English,30%,N/A,N/A,N/A,"Tongan and English are official"
Kiribati,English,N/A,Gilbertese,98.9%,N/A,N/A,N/A,"English and Gilbertese are official"
Tuvalu,Tuvaluan,93%,English,N/A,Samoan,N/A,"Kiribati","Tuvaluan and English are official"
Marshall Islands,Marshallese,98.2%,English,N/A,N/A,N/A,N/A,"Marshallese and English are official"
Micronesia,English,N/A,Chuukese,49%,Pohnpeian,30%,"Kosraean, Yapese","English is official; indigenous languages have official status regionally"
Palau,Palauan,65.2%,English,19.1%,Filipino,9.9%,"Chinese, other","Palauan and English are official"
Nauru,Nauruan,96%,English,N/A,N/A,N/A,N/A,"Nauruan and English are official"
Cook Islands,English,N/A,Cook Islands Maori,76.2%,N/A,N/A,N/A,"English and Cook Islands Maori are official"
Niue,Niuean,46%,English,32%,N/A,N/A,N/A,"Niuean and English are official"
